Ezek 25:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Ezek 25:2
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
στήρισον VA--AAD2S- στηρίζω
τὸ RA--ASN--- ὁ
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
Αμμων N---GSM--- Αμμων
καὶ C--------- καί
προφήτευσον VA--AAD2S- προφητεύω
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός

Ezek 25:3
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Αμμων N---GSM--- Αμμων
ἀκούσατε VA--AAD2P- ἀκούω
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐπεχάρητε VDI-API2P- χαίρω ἐπι
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ἅγιά A1A-APN--- ἅγιος
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
ἐβεβηλώθη VCI-API3S- βεβηλόω
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ὅτι C--------- ὅτι
ἠφανίσθη VSI-API3S- ἵζω ἀπο ἀνα
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Ιουδα N---GSM--- Ιουδα
ὅτι C--------- ὅτι
ἐπορεύθησαν VCI-API3P- πορεύομαι
ἐν P--------- ἐν
αἰχμαλωσίᾳ N1A-DSF--- αἰχμαλωσία

Ezek 25:4
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
παραδίδωμι V8--PAI1S- δίδωμι παρα
ὑμᾶς RP--AP---- σύ
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Κεδεμ N---GSM--- Κεδεμ
εἰς P--------- εἰς
κληρονομίαν N1A-ASF--- κληρονομία
καὶ C--------- καί
κατασκηνώσουσιν VF--FAI3P- σκηνόω κατα
ἐν P--------- ἐν
